municipio_id,municipio,muni_area_km2,line_km_total,line_km_HV,line_km_MV,line_km_unknown,substation_count_distribution,substation_count_generation,substation_count_industrial,substation_count_minor_distribution,substation_count_switching,substation_count_transmission,substation_count_yes,plant_count,generator_count_diesel,generator_count_hydro,generator_count_oil,generator_count_solar,generator_count_wind,line_km_per_km2,HV_km_per_km2,grid_intensity_index
047,PR-047,110.50987097694039,9.052950513799225,9.052950513799225,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0819198360632261,0.0819198360632261,-2.513654918784609
049,PR-049,26.521220118242894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,-2.550578983523821
051,PR-051,62.579839883269,15.481266060120548,7.740468626594129,0.0,7.740797433526418,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24738423890182457,0.12368949235141105,-1.3612757256849508
053,PR-053,79.72105554739449,25.747121774045347,10.967194022509156,14.779927751536189,0.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3229651388489027,0.13756960375404356,0.09656165763046343
054,PR-054,39.55842827279526,0.7032764726152567,0.7032764726152567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017778170248965813,0.017778170248965813,-3.3007772122295225
055,PR-055,98.227997407361,38.23486240289676,14.62774571227054,21.323584713644355,2.283531976981863,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,0.38924607456195087,0.14891625705864556,-0.44842006042490673
057,PR-057,175.84901904941214,151.75559543767056,86.37312475505502,61.01246158833483,4.370009094280724,1.0,2.0,14.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,592.0,0.0,0.8629880124325771,0.491177745670477,6.368482533630189
059,PR-059,110.25148372623242,47.07563724358903,42.969243443233765,4.106393800355259,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.4269841606892425,0.3897384596649195,1.4564283276528416
061,PR-061,70.58278164774848,47.49104657821845,36.463221559001575,0.8627575908147114,10.165067428402166,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,23.0,1.0,0.6728418102764496,0.5166022181015123,5.565465966696326
063,PR-063,73.45106975279064,4.918049769102117,3.7011624406925976,0.0,1.2168873284095199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06695681609069097,0.05038949675136595,-1.8465254396488542
065,PR-065,112.7996039624098,27.37162758358798,14.211303008949876,0.0,13.160324574638103,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24265712486640917,0.12598717114011995,-1.3694144635610328
067,PR-067,29.49981796538508,13.761783148246643,7.554376119524772,0.0,6.207407028721871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,0.0,0.4665040023092563,0.256082126621562,0.7119834023526408
069,PR-069,110.71743102891242,73.75480880658984,38.352385516860586,29.004619017074322,6.3978042726549225,2.0,1.0,23.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,29.0,0.0,0.6661535416887493,0.34639880243288307,6.259288861388871
071,PR-071,152.00879321130304,23.502590205143413,12.62141506091346,7.97839313374247,2.9027820104874835,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.15461335958685718,0.08303082206151584,-0.19303791865396414
